ticker,n_windows,expected_days,actual_days,coverage_pct,on_disk
NE,0,0,0,0.0,False
{{NYSESYMBOL|ACTION=GETCOMPANY REPORTS],1,1,0,0.0,False
CBS,1,2488,0,0.0,False
LB,1,1933,0,0.0,True
BTU,1,1178,0,0.0,True
ABC,1,3428,0,0.0,False
IPG,1,3994,0,0.0,False
WFM,1,1568,0,0.0,False
LXK,1,679,0,0.0,False
STI,1,2490,0,0.0,True
HP,0,0,0,0.0,False
CVH,1,830,0,0.0,False
CAM,1,1560,0,0.0,True
WPX.WI,0,0,0,0.0,False
BFB,3,401,0,0.0,False
CDAY,1,617,0,0.0,False
SNI,1,2047,0,0.0,False
AYE,1,283,0,0.0,False
CLF,0,0,0,0.0,False
NVLS,1,597,0,0.0,False
MON,1,2109,0,0.0,False
APC,1,2407,0,0.0,True
ANSS,1,2036,0,0.0,False
SBNY,1,306,0,0.0,True
CMA,1,3633,0,0.0,False
SHLD,1,660,0,0.0,True
PCS,1,824,0,0.0,True
ALTR,1,1494,0,0.0,False
UA/C,1,4,0,0.0,False
UA-C,1,13,0,0.0,False
DWDP,1,1,0,0.0,False
COIN,0,0,0,0.0,False
FPL,1,117,0,0.0,False
CTL,1,4096,0,0.0,False
COV,1,979,0,0.0,False
CXO,1,1243,0,0.0,False
GCI,1,1368,0,0.0,False
AAA,0,0,0,0.0,False
NU,1,1279,0,0.0,True
RAI,1,4096,0,0.0,False
LVLT,1,743,0,0.0,False
PCL,1,1530,0,0.0,True
MHFI,1,748,0,0.0,False
NBL,1,2700,0,0.0,False
HCN,1,2042,0,0.0,False
DAY,1,485,0,0.0,False
SIAL,1,1466,0,0.0,False
MNK,1,2918,0,0.0,False
UTX,1,2569,0,0.0,False
BCR,1,2006,0,0.0,False
PARA,1,876,0,0.0,False
UA.C,1,61,0,0.0,False
JDSU,1,985,0,0.0,False
EK,1,4096,0,0.0,False
MHS,1,555,0,0.0,True
{{BZX LINK|CBOE,1,1,0,0.0,False
LLL,1,2378,0,0.0,False
KFT,1,679,0,0.0,False
PRGO,0,0,0,0.0,False
NLOK,1,756,0,0.0,False
AMSG,1,1,0,0.0,False
FII,1,742,0,0.0,False
MMI,0,0,0,0.0,False
JWN,1,2645,0,0.0,False
MIL,1,123,0,0.0,False
GPS,1,3034,0,0.0,False
MXIM,1,691,0,0.0,False
SWY,1,1262,0,0.0,False
QEP,1,1246,0,0.0,False
COH,1,1958,0,0.0,False
WLTW,1,1526,0,0.0,False
ESV,1,922,0,0.0,False
NFX,0,0,0,0.0,False
SWN,1,1812,0,0.0,False
KORS,1,1283,0,0.0,False
VIA.B,2,3670,0,0.0,False
CA,1,2214,0,0.0,True
MOT,1,4096,0,0.0,False
ADT,1,902,0,0.0,True
LM,1,1730,0,0.0,False
PCLN,2,1920,0,0.0,True
DISCA,0,0,0,0.0,False
ENDP,1,528,0,0.0,False
NYX,1,971,0,0.0,False
BRCM,1,1516,0,0.0,False
VAR,1,2834,0,0.0,False
SE,1,1789,0,0.0,True
PDCO,1,2054,0,0.0,False
AOS,0,0,0,0.0,False
DFS,1,3859,0,0.0,False
VIAB,2,425,0,0.0,False
TYC,1,1492,0,0.0,False
LTD,1,978,0,0.0,False
SRCL,1,2231,0,0.0,False
LUK,1,2102,0,0.0,False
CVC,1,1333,0,0.0,False
KRFTV,0,0,0,0.0,False
SYMC,1,2468,0,0.0,False
META,1,978,0,0.0,True
XLNX,1,3040,0,0.0,False
TSS,1,2437,0,0.0,False
AGN,4,1980,0,0.0,False
FTR,1,1802,0,0.0,False
BHI,1,1891,0,0.0,False
JOY,0,0,0,0.0,False
VIAC,1,555,0,0.0,False
JNS,1,466,0,0.0,False
FRC,1,1090,0,0.0,False
DNR,1,1298,0,0.0,False
BRKB,3,279,0,0.0,False
ACT,1,601,0,0.0,True
PXD,2,3597,0,0.0,False
TSO,1,1896,0,0.0,False
MWV,1,1390,0,0.0,False
FB,1,2134,0,0.0,True
DISH,1,1568,0,0.0,False
FBHS,1,1634,0,0.0,False
BJS,1,71,0,0.0,False
ALXN,1,2304,0,0.0,False
CTXS,1,3197,0,0.0,False
KSU,1,2157,0,0.0,False
EMC,1,1671,0,0.0,True
MRO,1,3738,0,0.0,False
TWTR,1,1107,0,0.0,False
PGN,1,616,0,0.0,False
HFC,1,8,0,0.0,False
NOVL,1,335,0,0.0,False
JCP,1,971,0,0.0,False
ARG,2,1479,0,0.0,False
ANTM,1,1910,0,0.0,False
CBG,1,2056,0,0.0,False
PX,1,2211,0,0.0,False
XTO,1,117,0,0.0,False
WFR,1,4096,0,0.0,False
WPO,1,978,0,0.0,False
HES,1,3904,0,0.0,False
CHK,1,2054,0,0.0,False
URBN,0,0,0,0.0,False
SAI,0,0,0,0.0,False
AKS,1,4096,0,0.0,False
MDP,1,4096,0,0.0,False
BNI,1,3,0,0.0,False
RRD,1,729,0,0.0,False
MFE,1,283,0,0.0,False
DPS,1,2128,0,0.0,False
WYN,1,2104,0,0.0,False
WAG,1,1246,0,0.0,False
MI,1,461,0,0.0,True
ACS,1,4096,0,0.0,False
DISCK,1,2952,0,0.0,False
PETM,1,608,0,0.0,False
CCE,1,1598,0,0.0,True
ACE,1,3973,0,0.0,False
GAS,1,476,0,0.0,False
RE,1,1529,0,0.0,False
IGT,1,1111,0,0.0,False
XEC,1,1436,0,0.0,False
SPLS,1,1927,0,0.0,True
WFMI,1,346,0,0.0,False
STJ,1,1752,0,0.0,False
TWC,1,1591,0,0.0,False
COG,1,2948,0,0.0,False
PEAK,1,1088,0,0.0,False
GMCR,1,491,0,0.0,False
FI,1,611,0,0.0,False
RTN,1,2569,0,0.0,False
FL,1,847,0,0.0,False
SLE,1,613,0,0.0,True
FLT,2,1453,0,0.0,False
PCP,1,1516,0,0.0,False
BDK,1,4096,0,0.0,False
X,1,1118,0,0.0,False
HBI,1,57,0,0.0,False
INFO,1,1196,0,0.0,True
ODP,1,4096,0,0.0,False
LIFE,1,1014,0,0.0,True
POM,1,1558,0,0.0,True
HRS,1,2378,0,0.0,False
PLL,1,1414,0,0.0,False
DNB,1,1817,0,0.0,False
LUMN,0,0,0,0.0,False
JEC,1,2496,0,0.0,False
WIN,1,1310,0,0.0,False
BIG,1,773,0,0.0,False
CSC,1,1475,0,0.0,False
ADS,1,1659,0,0.0,False
NAVI,0,0,0,0.0,False
BEAM,1,614,0,0.0,True
FRX,1,1117,0,0.0,False
ETFC,1,2700,0,0.0,False
IBKR,0,0,0,0.0,False
KRFT,1,711,0,0.0,False
PBCT,1,3074,0,0.0,False
LO,1,1356,0,0.0,False
WPX,1,560,0,0.0,False
ATVI,1,2044,0,0.0,False
STR,1,123,0,0.0,False
MJN,0,0,0,0.0,False
YHOO,1,1865,0,0.0,False
QLGC,1,4096,0,0.0,False
MXB,1,117,0,0.0,False
MWW,1,4096,0,0.0,False
BF-B,5,499,0,0.0,False
ZMH,1,1368,0,0.0,False
JNPR,1,3891,0,0.0,False
BXLT,1,233,0,0.0,False
PKI,1,3354,0,0.0,False
DV,1,679,0,0.0,True
TE,1,1622,0,0.0,True
DRE,0,0,0,0.0,False
HNZ,1,850,0,0.0,False
WLP,1,1240,0,0.0,False
DF,1,840,0,0.0,False
APOL,1,871,0,0.0,False
AVP,1,1298,0,0.0,False
DTV,1,1390,0,0.0,False
CTLT,1,1062,0,0.0,False
HCBK,1,1456,0,0.0,False
DLPH,1,1247,0,0.0,False
NSM,1,437,0,0.0,True
TMK,1,2433,0,0.0,False
BWA,0,0,0,0.0,False
BLL,1,3099,0,0.0,False
WBA,1,284,0,0.0,False
ANR,1,333,0,0.0,False
NLSN,1,2335,0,0.0,False
BHGE,1,566,0,0.0,False
SIVB,1,1254,0,0.0,False
FDO,1,1375,0,0.0,False
WCG,1,348,0,0.0,False
TSLA,2,1350,0,0.0,True
MYL,1,2727,0,0.0,False
ERTS,1,4096,0,0.0,False
CERN,1,3047,0,0.0,False
HCP,1,2468,0,0.0,False
RHT,1,2386,0,0.0,False
LLTC,1,1797,0,0.0,False
TIF,1,2763,0,0.0,False
XL,1,2177,0,0.0,False
MMC,1,4041,0,0.0,False
JAVA,1,10,0,0.0,True
CPGX,0,0,0,0.0,False
DO,1,1685,0,0.0,False
ABMD,1,1150,0,0.0,False
S,1,871,0,0.0,True
HSP,1,1414,0,0.0,False
LSI,1,1081,0,0.0,False
ARNC,1,867,0,0.0,False
GGP,1,1065,0,0.0,False
CMCSK,1,56,0,0.0,False
